id,condition,time,Delta,Theta,Alpha,Beta,Gamma,Sum
27,flow,203,351251.0,43630.0,23678.0,10882.0,7966.0,39
27,flow,204,192620.0,13926.0,7225.0,6889.0,1430.0,39
27,flow,205,47292.0,15082.0,7147.0,14336.0,3404.0,39
27,flow,206,177694.0,20943.0,6293.0,3884.0,1059.0,39
27,flow,207,65115.0,17570.0,23239.0,17608.0,7389.0,39
27,flow,208,113649.0,102683.0,52305.0,21082.0,4156.0,39
27,flow,209,2414.0,6998.0,34125.0,9105.0,3308.0,39
27,flow,210,171787.0,34022.0,11570.0,3177.0,1074.0,39
27,flow,211,320210.0,54698.0,23847.0,26716.0,5205.0,39
27,flow,212,21195.0,18663.0,38309.0,18244.0,6842.0,39
27,flow,213,430837.0,77812.0,18335.0,28884.0,5915.0,39
27,flow,214,35066.0,44708.0,11354.0,13729.0,4251.0,39
27,flow,215,111098.0,31446.0,57375.0,13914.0,4535.0,39
27,flow,216,33816.0,42104.0,42134.0,19928.0,8016.0,39
27,flow,217,122247.0,86794.0,93195.0,14596.0,5824.0,39
27,flow,218,967144.0,123481.0,50494.0,14684.0,6986.0,39
27,flow,219,62873.0,26355.0,24764.0,14307.0,6054.0,39
27,flow,220,4270.0,6589.0,15731.0,9602.0,8271.0,39
